tags: active-korean 한국어학원

#[sound:~~~어요.mp3]	~~~어요<hr/>~~~세요<p class="small">(honorifique)</p><div class="활용"><div class="bloc"><div class="부정사">xxx다</div><div class="불규칙">(“?” 불규칙)</div></div><div class="bloc"><div class="현재"><div class="하십시오체"><div class="높임">***십니다</div>***습니다</div><div class="해요체"><div class="높임">~~~세요</div>~~~어요</div></div><div class="과거"><div class="하십시오체"><div class="높임">+++셨습니다</div>+++었습니다</div><div class="해요체"><div class="높임">¤¤¤셨어요</div>¤¤¤었어요</div></div><div class="미래"><div class="하십시오체"><div class="높임">xxx실 겁니다</div>xxx 겁니다</div><div class="해요체"><div class="높임">xxx실 거예요</div>xxx 거예요</div></div></div><div class="bloc"><div class="연결"><div class="높임">xxx시고</div>xxx고</div><div class="연결"><div class="높임">xxx시지만</div>xxx지만</div><div class="연결"><div class="높임">xxx시는데</div>xxx는데</div><div class="연결"><div class="높임">xxx시면</div>xxx면</div><div class="연결"><div class="높임">xxx셔서</div>xxx서</div></div></div>	il --------<p class="small">(해요체, registre informel poli)</p>

[sound:수고.mp3]	수고	(dur) travail, labeur

[sound:사랑해요.mp3]	사랑해요<hr/>사랑하세요<p class="small">(honorifique)</p><div class="활용"><div class="bloc"><div class="부정사">사랑하다</div></div><div class="bloc"><div class="현재"><div class="하십시오체"><div class="높임">사랑하십니다</div>사랑합니다</div><div class="해요체"><div class="높임">사랑하세요</div>사랑해요</div></div><div class="과거"><div class="하십시오체"><div class="높임">사랑하셨습니다</div>사랑했습니다</div><div class="해요체"><div class="높임">사랑하셨어요</div>사랑했어요</div></div><div class="미래"><div class="하십시오체"><div class="높임">사랑하실 겁니다</div>사랑할 겁니다</div><div class="해요체"><div class="높임">사랑하실 거예요</div>사랑할 거예요</div></div></div><div class="bloc"><div class="연결"><div class="높임">사랑하시고</div>사랑하고</div><div class="연결"><div class="높임">사랑하시지만</div>사랑하지만</div><div class="연결"><div class="높임">사랑하시는데</div>사랑하는데</div><div class="연결"><div class="높임">사랑하시면</div>사랑하면</div><div class="연결"><div class="높임">사랑하셔서</div>사랑해서</div></div></div>	il aime<p class="small">(해요체, registre informel poli)</p>

[sound:설거지해요.mp3]	설거지해요<hr/>설거지하세요<p class="small">(honorifique)</p><div class="활용"><div class="bloc"><div class="부정사">설거지하다</div></div><div class="bloc"><div class="현재"><div class="하십시오체"><div class="높임">설거지하십니다</div>설거지합니다</div><div class="해요체"><div class="높임">설거지하세요</div>설거지해요</div></div><div class="과거"><div class="하십시오체"><div class="높임">설거지하셨습니다</div>설거지했습니다</div><div class="해요체"><div class="높임">설거지하셨어요</div>설거지했어요</div></div><div class="미래"><div class="하십시오체"><div class="높임">설거지하실 겁니다</div>설거지할 겁니다</div><div class="해요체"><div class="높임">설거지하실 거예요</div>설거지할 거예요</div></div></div><div class="bloc"><div class="연결"><div class="높임">설거지하시고</div>설거지하고</div><div class="연결"><div class="높임">설거지하시지만</div>설거지하지만</div><div class="연결"><div class="높임">설거지하시는데</div>설거지하는데</div><div class="연결"><div class="높임">설거지하시면</div>설거지하면</div><div class="연결"><div class="높임">설거지하셔서</div>설거지해서</div></div></div>	il fait la vaisselle<p class="small">(해요체, registre informel poli)</p>

[sound:샤워해요.mp3]	샤워해요<hr/>샤워하세요<p class="small">(honorifique)</p><div class="활용"><div class="bloc"><div class="부정사">샤워하다</div></div><div class="bloc"><div class="현재"><div class="하십시오체"><div class="높임">샤워하십니다</div>샤워합니다</div><div class="해요체"><div class="높임">샤워하세요</div>샤워해요</div></div><div class="과거"><div class="하십시오체"><div class="높임">샤워하셨습니다</div>샤워했습니다</div><div class="해요체"><div class="높임">샤워하셨어요</div>샤워했어요</div></div><div class="미래"><div class="하십시오체"><div class="높임">샤워하실 겁니다</div>샤워할 겁니다</div><div class="해요체"><div class="높임">샤워하실 거예요</div>샤워할 거예요</div></div></div><div class="bloc"><div class="연결"><div class="높임">샤워하시고</div>샤워하고</div><div class="연결"><div class="높임">샤워하시지만</div>샤워하지만</div><div class="연결"><div class="높임">샤워하시는데</div>샤워하는데</div><div class="연결"><div class="높임">샤워하시면</div>샤워하면</div><div class="연결"><div class="높임">샤워하셔서</div>샤워해서</div></div></div>	il prend une douche<p class="small">(해요체, registre informel poli)</p>

[sound:가르쳐요.mp3]	가르<span class="불규칙">쳐</span>요<hr/>가르치세요<p class="small">(honorifique)</p><div class="활용"><div class="bloc"><div class="부정사">가르치다</div></div><div class="bloc"><div class="현재"><div class="하십시오체"><div class="높임">가르치십니다</div>가르칩니다</div><div class="해요체"><div class="높임">가르치세요</div>가르쳐요</div></div><div class="과거"><div class="하십시오체"><div class="높임">가르치셨습니다</div>가르쳤습니다</div><div class="해요체"><div class="높임">가르치셨어요</div>가르쳤어요</div></div><div class="미래"><div class="하십시오체"><div class="높임">가르치실 겁니다</div>가르칠 겁니다</div><div class="해요체"><div class="높임">가르치실 거예요</div>가르칠 거예요</div></div></div><div class="bloc"><div class="연결"><div class="높임">가르치시고</div>가르치고</div><div class="연결"><div class="높임">가르치시지만</div>가르치지만</div><div class="연결"><div class="높임">가르치시는데</div>가르치는데</div><div class="연결"><div class="높임">가르치시면</div>가르치면</div><div class="연결"><div class="높임">가르치셔서</div>가르쳐서</div></div></div>	il enseigne<p class="small">(해요체, registre informel poli)</p>

[sound:달라요.mp3]	<span class="불규칙">달라</span>요<hr/>다르세요<p class="small">(honorifique)</p><div class="활용"><div class="bloc"><div class="부정사">다르다</div><div class="불규칙">(“르” 불규칙)</div></div><div class="bloc"><div class="현재"><div class="하십시오체"><div class="높임">다르십니다</div>다릅니다</div><div class="해요체"><div class="높임">다르세요</div>달라요</div></div><div class="과거"><div class="하십시오체"><div class="높임">다르셨습니다</div>달랐습니다</div><div class="해요체"><div class="높임">다르셨어요</div>달랐어요</div></div><div class="미래"><div class="하십시오체"><div class="높임">다르실 겁니다</div>다를 겁니다</div><div class="해요체"><div class="높임">다르실 거예요</div>다를 거예요</div></div></div><div class="bloc"><div class="연결"><div class="높임">다르시고</div>다르고</div><div class="연결"><div class="높임">다르시지만</div>다르지만</div><div class="연결"><div class="높임">다르신데</div>다른데</div><div class="연결"><div class="높임">다르시면</div>다르면</div><div class="연결"><div class="높임">다르셔서</div>달라서</div></div></div>	il est différent<p class="small">(해요체, registre informel poli)</p>

[sound:마르다.mp3]	마르다	sécher
